length,num_links,num_special_chars,num_keywords,num_urls,num_domains,num_ip_addresses,html_tags,js_code
196,1,14,3,1,1,0,True,False
4725,3,32,1,3,1,0,True,False
233,0,13,0,0,0,0,False,False
454,0,12,3,0,0,0,False,False
67,0,4,0,0,0,0,False,False
618,3,24,4,2,2,0,False,False
167,0,4,0,0,0,0,False,False
19,0,1,0,0,0,0,False,False
284,0,7,0,0,0,0,False,False
250,0,6,0,0,0,0,False,False
421,0,9,0,0,0,0,False,False
1526,3,44,2,3,1,0,True,False
1073,0,50,2,0,0,0,False,False
447,0,12,3,0,0,0,False,False
2171,7,110,3,7,3,0,True,False
2160,7,86,0,7,3,0,True,False
604,0,9,2,0,0,0,False,False
458,0,6,2,0,0,0,False,False
59,0,2,0,0,0,0,False,False
1210,6,64,0,6,2,0,True,False
1042,0,21,3,0,0,0,False,False
4446,3,29,1,3,1,0,True,False
158,0,3,0,0,0,0,False,False
958,3,35,0,3,3,0,True,False
294,0,11,0,0,0,0,False,False
4615,3,46,10,3,1,0,True,False
685,0,21,1,0,0,0,True,False
12,0,0,0,0,0,0,False,False
224,0,6,0,0,0,0,False,False
606,2,28,5,1,1,0,True,False
71,0,7,0,0,0,0,False,False
404,0,32,1,0,0,0,False,False
1337,1,72,1,1,1,0,True,False
284,0,8,0,0,0,0,False,False
402,0,14,0,0,0,0,False,False
681,3,18,3,3,2,0,True,False
551,1,37,0,1,1,0,True,False
336,1,18,0,1,1,0,True,False
746,2,35,7,2,2,0,True,False
934,0,31,3,0,0,0,False,False
673,1,15,1,1,1,0,False,False
133,0,2,1,0,0,0,False,False
1196,1,54,1,1,1,0,False,False
1029,1,45,1,1,1,0,False,False
681,1,25,0,1,1,0,True,False
423,0,9,0,0,0,0,False,False
1194,2,51,4,2,2,0,True,False
1317,0,31,0,0,0,0,False,False
202,0,4,1,0,0,0,False,False
1319,0,50,1,0,0,0,False,False
457,1,18,0,1,1,0,True,False
503,1,21,7,1,1,0,True,False
436,0,9,0,0,0,0,False,False
52,0,3,0,0,0,0,False,False
3368,8,211,0,8,2,0,True,False
282,2,12,0,1,1,0,True,False
269,0,6,0,0,0,0,False,False
322,1,11,3,1,1,0,True,False
322,1,11,3,1,1,0,True,False
31,0,0,0,0,0,0,False,False
446,1,24,0,1,1,0,True,False
188,0,3,1,0,0,0,False,False
26,0,5,0,0,0,0,False,False
2117,11,94,2,11,6,0,True,False
761,0,33,1,0,0,0,False,False
596,4,23,1,3,2,0,True,False
