Word_Count,Homoglyphs,Total_Abnormal_Count,html_tags,js_code,Label
37,0,0,3,0,1
564,0,2,0,0,0
437,0,0,0,0,0
74,0,0,0,0,0
671,0,3,0,0,0
34,0,0,0,0,0
37,0,0,0,0,0
76,0,0,1,0,0
46,0,0,0,0,0
82,0,0,0,0,0
89,0,2,0,0,1
61,0,0,1,0,0
153,0,0,0,0,0
13,0,0,0,0,1
315,0,2,0,0,0
497,0,0,0,0,0
121,0,0,4,0,1
38,0,0,0,0,0
525,0,0,22,0,0
101,0,0,0,0,0
92,0,0,2,0,0
1106,0,5,3,0,0
16,0,0,0,0,0
7,0,0,0,0,0
43,0,0,1,0,0
67,0,0,3,0,0
130,0,0,0,0,0
392,0,1,0,0,0
11,0,0,0,0,0
76,0,3,0,0,0
231,0,0,0,0,0
162,0,0,0,0,0
29,0,0,0,0,0
52,0,0,1,0,1
1078,0,0,0,0,0
439,0,0,0,0,0
11,0,0,0,0,0
94,0,0,3,0,0
